Scotland's Census 2022 - National Records of Scotland
Table UV607 - National Statistics Socio-economic Classification (NS-SeC)
All people aged 16 and over
,"All people aged 16 and over","L1: Employers in large establishments","L2: Higher managerial and administrative occupations","L3: Higher professional occupations","L4: Lower professional and higher technical occupations","L5: Lower managerial and administrative occupations","L6: Higher supervisory occupations","L7: Intermediate occupations","L8: Employers in small establishments","L9: Own account workers","L10: Lower supervisory occupations","L11: Lower technical occupations","L12: Semi-routine occupations","L13: Routine occupations","L14.1: Never worked","L14.2: Long-term unemployed","L15: Full-time students"
"S00146512",101,-,1,6,10,5,3,12,1,8,4,4,17,28,2,-,3
"S00146513",84,-,-,7,17,2,-,8,2,5,-,3,14,16,8,-,2
"S00146514",111,-,1,3,23,6,3,10,7,11,4,-,14,15,16,1,3
"S00146515",55,-,3,6,6,3,2,3,2,19,2,-,5,2,3,-,1
"S00146516",109,-,-,7,11,1,-,13,5,12,4,3,16,20,12,-,6
"S00146517",59,-,1,1,9,3,1,7,3,17,-,2,7,4,1,-,1
"S00146518",118,-,6,9,18,3,4,12,2,6,4,5,15,21,7,1,5
"S00146519",49,-,-,-,5,1,-,6,-,3,-,3,9,11,7,1,3
"S00146520",156,-,2,8,31,9,6,18,3,11,5,10,17,23,6,-,5
"S00146521",94,-,-,6,9,1,1,10,2,6,2,2,13,28,14,-,2
"S00146522",105,-,-,3,5,5,5,11,2,5,6,4,17,17,9,4,12
"S00146523",94,-,-,2,7,-,1,14,-,5,2,4,23,22,11,-,3
"S00146524",69,-,-,4,1,-,-,7,-,2,2,2,15,19,14,2,5
"S00146525",149,-,6,33,19,6,4,12,7,19,3,2,12,18,7,-,2
"S00146526",119,-,-,3,12,1,5,25,1,4,4,3,17,23,5,4,12
"S00146527",99,-,2,-,9,-,4,13,4,9,6,4,12,18,7,1,5
"S00146528",108,-,-,8,11,5,4,11,-,6,4,2,19,24,8,2,9
"S00146529",125,-,3,5,20,5,3,10,11,17,1,8,13,14,7,-,5
"S00146530",115,-,7,11,24,6,2,22,2,12,4,6,8,9,1,-,5
"S00146531",76,-,3,6,19,6,1,10,1,1,5,4,9,9,2,-,2
"S00146532",82,-,-,4,9,1,-,7,2,6,3,1,7,19,12,4,11
"S00146533",71,-,-,2,14,4,2,12,1,4,6,4,11,6,6,-,1
"S00146534",98,-,-,1,8,-,1,12,1,5,7,4,18,17,13,-,4
"S00146535",173,-,2,19,22,3,6,31,3,6,6,5,23,20,28,1,5
"S00146536",95,-,1,1,2,3,-,10,1,5,2,6,20,20,19,4,6
"S00146537",137,-,6,6,15,3,2,11,3,6,14,7,13,30,4,4,11
"S00146538",84,-,-,1,7,3,2,6,3,6,4,2,9,14,4,1,20
"S00146539",110,-,3,2,25,7,1,11,1,11,1,2,11,17,8,-,11
"S00146540",232,-,4,7,21,12,9,10,8,19,5,15,17,63,34,2,1
"S00146541",70,-,1,5,10,2,-,13,-,5,2,3,10,13,4,-,5
"S00146542",78,-,4,4,19,4,3,10,4,1,-,2,7,13,2,-,5
"S00146543",134,-,2,13,24,6,2,18,2,6,3,9,22,17,1,2,7
"S00146544",96,-,5,9,15,6,2,11,3,2,4,6,17,12,6,-,4
"S00146545",77,-,-,2,7,1,1,12,1,-,3,1,12,14,4,2,13
"S00146546",97,-,-,4,12,-,2,16,-,5,2,11,11,21,13,1,3
"S00146547",100,-,-,5,12,2,3,10,4,6,2,3,16,10,9,1,20
"S00146548",109,-,6,17,24,2,5,8,2,9,5,-,14,16,2,-,-
"S00146549",91,-,-,2,9,-,-,12,1,3,1,2,14,31,6,1,6
"S00146550",103,-,3,8,17,2,3,12,4,9,7,1,12,10,3,-,12
"S00146551",89,-,1,6,16,3,1,9,4,4,5,4,10,17,6,1,4
"S00146552",63,-,1,1,4,3,4,9,-,6,-,2,17,10,6,-,2
"S00146553",102,-,-,4,18,3,2,9,-,3,2,2,19,23,8,-,5
"S00146554",101,-,1,4,16,3,3,16,4,7,1,3,13,11,5,1,6
"S00146555",130,-,1,9,15,7,1,8,3,11,3,5,18,24,13,-,10
"S00146556",91,-,-,3,15,3,-,13,4,13,2,1,12,15,4,-,2
"S00146557",137,-,5,13,25,1,5,17,2,10,2,6,9,21,15,-,6
"S00146558",105,-,4,8,18,4,7,19,1,6,6,4,10,7,5,1,4
"S00146559",102,-,1,3,21,2,5,15,1,4,4,7,15,18,1,-,5
"S00146560",68,-,-,1,6,2,-,7,1,8,2,1,7,22,6,-,3
"S00146561",126,-,2,9,19,5,5,20,9,6,6,8,15,13,10,-,3
"S00146562",117,-,3,9,17,7,-,16,2,12,5,6,18,18,3,1,3
"S00146563",88,-,2,-,7,-,3,3,1,6,2,5,13,17,22,1,4
"S00146564",111,-,6,12,33,3,3,18,8,4,4,2,13,6,4,-,2
"S00146565",98,-,-,4,7,3,-,8,-,4,-,3,13,20,20,5,9
"S00146566",48,-,-,2,5,2,-,-,2,2,1,7,8,8,7,1,1
"S00146567",59,-,-,5,6,3,2,8,1,3,2,1,11,8,4,2,3
"S00146568",93,-,1,3,14,-,4,14,-,2,1,5,13,16,8,-,10
"S00146569",105,-,4,15,32,4,4,16,4,3,3,2,5,5,7,-,-
"S00146570",133,-,5,10,25,2,4,18,3,5,4,5,17,15,6,1,11
"S00146571",97,-,2,9,23,3,3,11,7,5,2,6,11,8,3,-,7
"S00146572",135,-,3,6,13,5,8,9,-,5,8,4,22,28,2,-,14
"S00146573",92,-,-,7,16,2,4,7,-,4,5,7,11,18,7,1,6
"S00146574",61,-,1,2,14,2,4,10,2,3,3,-,7,3,2,-,5
"S00146575",67,-,-,1,11,2,-,3,-,6,2,3,17,9,1,1,3
"S00146576",72,-,-,2,5,2,1,12,1,5,3,5,11,10,7,1,7
"S00146577",85,-,3,4,11,2,-,4,1,3,3,4,10,17,8,3,7
"S00146578",63,-,-,2,4,2,1,14,-,4,4,2,4,16,4,2,7
"S00146579",62,-,-,4,9,-,4,9,-,4,2,6,9,12,4,1,2
"S00146580",68,-,7,6,10,3,5,6,2,12,3,4,5,8,-,-,1
"S00146581",100,-,-,-,7,3,3,9,-,-,4,3,17,34,10,1,7
"S00146582",121,-,5,12,31,2,8,13,2,3,3,4,17,16,4,1,3
"S00146583",68,-,2,3,11,3,5,14,4,-,4,4,4,7,2,-,3
"S00146584",60,-,1,5,13,1,-,9,-,3,1,1,9,10,4,-,-
"S00146585",89,4,-,10,19,2,3,17,1,9,-,5,5,16,5,-,1
"S00146586",71,-,1,4,9,4,5,11,3,3,4,1,5,13,7,-,5
"S00146587",81,-,-,4,5,5,-,15,-,5,5,-,8,15,8,2,7
"S00146588",87,-,3,17,25,5,4,9,3,3,1,3,5,2,5,-,8
"S00146589",92,-,9,-,15,-,6,17,4,5,3,1,9,14,13,-,4
"S00146590",89,-,2,6,20,5,1,16,2,4,4,7,7,11,1,-,-
"S00146591",57,-,1,1,9,3,2,5,1,-,6,-,6,10,6,2,3
"S00146592",140,-,4,9,20,1,6,12,6,25,7,5,18,7,7,-,7
"S00146593",99,-,3,3,22,-,4,13,2,2,2,4,14,14,7,-,6
"S00146594",143,1,11,24,36,5,4,12,9,7,-,4,12,5,7,1,8
"S00146595",92,-,-,-,10,1,2,13,1,3,7,2,15,19,3,-,14
"S00146596",101,-,-,2,17,-,1,11,-,4,6,5,12,25,11,-,8
"S00146597",145,2,7,27,39,4,9,13,5,2,1,8,8,14,4,-,1
"S00146598",87,-,1,5,16,6,8,13,2,9,3,4,4,5,7,-,3
"S00146599",72,-,-,3,8,-,-,5,1,-,8,4,13,20,8,1,3
"S00146600",100,-,2,6,20,2,2,23,4,4,3,-,14,14,4,-,5
"S00146601",73,-,-,6,7,1,1,5,2,4,2,3,8,15,10,1,12
"S00146602",77,-,-,4,4,3,2,7,1,3,2,3,18,15,11,1,2
"S00146603",96,-,4,7,24,3,-,11,-,7,-,3,14,10,5,-,5
"S00146604",86,-,1,8,19,10,4,14,-,1,3,5,8,9,2,-,4
"S00146605",59,-,2,5,5,1,9,7,2,-,-,3,9,11,1,-,5
"S00146606",93,-,1,3,18,1,7,17,1,7,1,7,9,12,2,-,6
"S00146607",139,-,5,6,24,3,2,29,1,12,4,7,25,11,5,2,2
"S00146608",96,-,2,3,9,3,2,14,2,3,3,7,14,26,4,-,6
"S00146609",96,-,6,1,18,3,3,13,1,4,3,4,13,25,2,-,-
"S00146610",84,-,4,10,18,-,3,11,5,10,4,4,8,2,-,-,4
"S00146611",139,-,8,15,26,2,11,23,4,7,2,2,10,13,8,-,9
"S00146612",82,-,-,3,10,-,4,14,1,2,1,6,4,26,6,1,3
"S00146613",83,1,4,10,24,2,6,8,3,1,-,2,7,10,2,-,5
"S00146614",65,-,2,4,9,2,4,11,-,4,2,6,11,5,-,-,5
"S00146615",59,-,1,7,13,-,2,12,-,1,3,-,4,12,-,-,2
"S00146616",53,-,-,1,7,2,2,11,-,1,3,-,10,4,6,1,6
"S00146617",69,-,-,-,6,1,1,12,1,2,3,2,12,19,4,-,3
"S00146618",106,-,7,17,26,4,6,7,4,4,-,3,6,6,7,-,6
"S00146619",76,-,3,4,14,2,3,16,-,2,2,3,10,8,7,-,4
"S00146620",63,-,1,4,4,2,2,7,2,4,1,-,8,11,5,2,8
"S00146621",71,-,2,10,10,1,4,3,3,15,4,3,8,6,-,-,4
"S00146622",121,-,6,20,27,8,4,13,4,6,6,4,10,3,3,-,11
"S00146623",76,-,-,10,12,1,2,8,2,8,-,-,16,8,7,-,3
"S00146624",72,-,5,1,10,1,2,11,3,5,2,2,10,14,4,-,2
"S00146625",59,-,-,14,16,2,-,6,3,2,-,6,4,5,4,2,-
"S00146626",105,-,3,4,26,-,3,16,1,6,1,5,9,15,2,1,7
"S00146627",124,-,-,6,11,4,6,15,1,6,2,4,22,27,6,-,10
"S00146628",151,-,5,7,31,7,8,21,-,10,4,8,18,15,6,1,9
"S00146629",106,-,-,3,22,3,2,15,-,6,3,6,12,7,11,1,10
"S00146630",101,-,1,3,21,4,2,21,1,6,4,5,12,17,3,2,4
"S00146631",136,-,4,10,28,3,4,11,15,21,3,10,9,12,6,-,4
"S00146632",67,-,4,-,11,-,4,12,1,4,3,5,4,17,-,-,2
"S00146633",77,-,2,4,17,4,3,10,4,6,3,4,8,7,1,-,-
"S00146634",116,-,1,5,13,8,4,23,8,4,5,8,14,18,3,1,7
"S00146635",91,-,3,7,21,4,3,12,1,4,3,6,11,7,1,-,8
"S00146636",109,-,8,8,23,3,4,21,2,1,4,7,10,16,6,-,1
"S00146637",108,-,1,4,12,7,5,20,1,3,4,3,22,21,2,2,7
"S00146638",106,-,4,7,17,6,9,18,3,9,5,5,10,12,3,-,1
"S00146639",91,-,2,8,16,2,6,20,1,5,4,2,10,7,-,-,10
"S00146640",68,-,-,12,15,-,1,5,2,7,4,1,11,13,3,2,4
"S00146641",115,-,-,3,15,6,4,23,1,4,4,2,17,24,4,3,10
"S00146642",84,-,-,8,11,5,5,10,3,3,4,4,13,9,3,1,9
"S00146643",130,-,2,5,28,4,4,21,2,7,6,4,20,16,3,-,6
"S00146644",96,-,2,13,28,1,1,10,3,8,2,2,16,6,6,-,4
"S00146645",94,-,2,1,16,2,3,9,-,4,5,1,15,19,5,1,6
"S00146646",111,-,3,8,21,7,7,17,5,4,3,3,18,11,1,-,4
"S00146647",108,-,2,14,19,7,7,20,4,5,3,3,5,6,4,3,2
"S00146648",53,-,2,4,12,5,3,9,-,3,3,-,5,6,2,-,-
"S00146649",86,-,2,4,14,2,2,16,2,4,3,6,8,16,3,1,1
"S00146650",85,-,11,10,18,2,-,14,1,6,5,4,8,2,2,-,4
"S00146651",66,-,2,4,12,1,3,13,-,-,-,3,11,10,2,-,3
"S00146652",79,-,4,1,12,-,2,13,3,7,5,4,8,10,4,-,3
"S00146653",96,-,4,3,12,4,2,12,2,10,4,2,19,7,17,-,1
"S00146654",65,1,2,5,8,1,-,8,2,2,2,-,18,7,5,-,7
"S00146655",87,-,2,1,23,1,7,16,-,1,2,6,10,9,-,-,4
"S00146656",135,-,7,17,22,3,1,12,4,5,7,6,10,9,17,4,11
"S00146657",139,-,7,12,17,2,6,10,9,19,6,3,23,15,3,-,5
"S00146658",205,-,5,37,34,3,5,18,1,9,4,8,9,17,48,1,4
"S00146659",84,-,1,1,6,1,5,6,-,8,1,2,12,23,9,2,5
"S00146660",122,-,8,9,25,2,6,16,-,6,3,7,12,14,2,1,5
"S00146661",128,-,2,16,27,2,7,14,2,1,5,5,15,11,5,1,16
"S00146662",99,-,4,8,18,-,4,12,3,4,2,5,9,19,2,3,5
"S00146663",66,-,6,6,14,-,4,10,3,7,1,2,5,2,2,-,5
"S00146664",96,-,-,2,12,1,3,17,4,1,5,9,14,11,6,-,4
"S00146665",85,-,2,3,12,1,1,12,2,6,3,4,11,12,2,-,2
"S00146666",139,-,7,7,22,4,3,10,4,12,2,4,21,22,9,2,6
"S00146667",84,-,2,4,12,1,-,8,3,6,5,4,20,17,5,1,3
"S00146668",99,-,3,11,18,5,4,18,-,4,5,5,12,11,3,-,1
"S00146669",50,-,-,-,8,-,3,3,-,4,2,1,6,13,-,-,5
"S00146670",66,-,6,3,2,1,-,3,-,3,2,1,15,18,4,2,2
"S00146671",122,-,-,8,10,7,6,29,1,13,1,6,14,22,5,-,2
"S00146672",92,-,3,6,20,6,4,13,1,2,2,3,11,9,5,-,7
"S00146673",107,-,-,6,9,1,-,12,1,15,5,3,23,22,-,-,9
"S00146674",109,-,1,7,2,4,2,4,1,12,6,9,16,32,2,6,1
"S00146675",74,-,1,2,2,1,2,10,2,4,2,3,18,12,11,-,5
"S00146676",138,-,6,13,35,6,5,26,-,5,5,6,12,11,1,1,1
"S00146677",83,-,2,2,3,-,1,9,-,4,3,3,16,23,13,1,4
"S00146678",67,-,2,16,12,-,1,14,-,1,1,1,7,10,1,1,-
"S00146679",75,-,-,2,6,4,-,9,1,4,7,3,7,14,3,2,13
"S00146680",74,-,-,-,5,1,-,7,-,5,5,3,14,20,9,-,2
"S00146681",133,-,9,15,28,7,2,25,2,4,2,10,9,15,3,-,6
"S00146682",104,2,1,3,14,4,6,11,4,9,2,5,16,23,8,-,2
"S00146683",64,-,-,5,13,5,3,11,6,1,4,2,1,10,1,-,2
"S00146684",112,-,9,7,12,7,8,20,4,7,3,-,15,7,3,-,2
"S00146685",140,-,1,6,9,6,4,16,7,5,8,9,15,23,28,1,2
"S00146686",127,-,2,4,9,9,-,7,1,8,9,5,21,30,9,2,10
"S00146687",131,-,6,12,27,5,4,18,3,14,6,7,10,10,5,1,6
"S00146688",91,-,2,10,8,9,2,8,2,4,2,2,13,18,8,2,2
"S00146689",75,-,2,2,10,1,3,9,12,10,1,1,10,8,3,-,3
"S00146690",82,-,10,11,18,3,2,2,-,13,-,4,6,5,3,-,3
"S00146691",102,-,7,13,32,3,3,14,-,3,-,2,10,8,4,-,3
"S00146692",101,-,3,14,17,2,2,6,3,19,1,7,10,9,1,-,6
"S00146693",89,-,2,2,15,-,3,11,2,6,4,7,11,18,6,-,4
"S00146694",86,-,6,7,11,1,5,7,7,9,1,1,12,8,3,1,4
"S00146695",52,-,-,2,5,4,-,10,1,3,3,4,5,15,-,-,3
"S00146696",104,-,1,5,26,2,5,17,3,6,2,2,17,9,2,2,5
"S00146697",66,-,3,2,8,6,1,5,4,6,-,2,9,11,3,-,-
"S00146698",73,-,-,6,3,2,-,7,6,10,3,5,11,9,2,-,3
"S00146699",102,-,-,7,17,2,1,5,1,16,2,3,5,8,33,-,3
"S00146700",81,-,4,10,18,3,2,10,-,1,-,1,10,13,4,-,3
"S00146701",111,-,4,11,22,3,1,9,3,21,3,3,9,18,5,4,-
"S00146702",83,-,-,5,8,2,6,9,-,1,2,10,16,14,6,1,1
"S00146703",147,-,5,10,24,6,4,13,6,12,7,3,19,21,13,-,4
"S00146704",81,-,5,6,18,-,8,14,2,2,2,7,7,6,-,-,6
"S00146705",87,-,4,6,19,1,2,11,3,4,7,3,12,13,2,-,2
"S00146706",67,-,4,5,11,4,3,4,1,8,7,4,12,8,4,-,3
"S00146707",112,-,2,9,8,2,2,5,3,12,3,5,10,25,11,1,8
"S00146708",120,-,-,13,14,5,10,9,6,18,7,7,14,14,3,-,5
"S00146709",94,-,4,4,15,6,3,2,9,19,1,3,14,9,6,-,-
"S00146710",123,-,3,16,21,4,4,13,7,21,5,4,11,8,7,-,4
"S00146711",116,-,3,12,28,7,2,8,3,5,9,10,9,8,2,3,7
"S00146712",101,-,-,5,14,1,3,10,7,9,3,12,13,14,4,-,7
"S00146713",159,-,3,8,12,3,3,19,1,4,5,5,20,26,7,2,38
"S00146714",106,-,5,5,14,2,3,8,4,16,4,4,9,16,8,1,7
"S00146715",104,1,-,3,17,6,5,6,9,24,4,2,5,7,4,2,6
"S00146716",108,1,2,4,15,3,4,14,11,13,-,-,15,17,-,-,4
"S00146717",92,-,-,2,13,3,-,11,2,3,5,1,19,19,6,5,1
"S00146718",68,-,2,11,16,5,3,4,4,6,2,2,4,7,-,-,-
"S00146719",68,-,-,5,4,1,2,11,1,1,-,5,5,10,15,3,-
"S00146720",121,-,-,2,14,6,1,15,-,5,7,2,19,29,8,1,8
"S00146721",90,-,6,10,14,-,2,8,4,20,3,2,4,6,4,-,4
"S00146722",121,-,1,23,19,7,2,8,13,15,6,5,10,7,2,1,5
"S00146723",106,-,3,7,16,4,8,6,7,20,1,6,12,10,5,-,-
"S00146724",143,-,10,8,10,4,9,13,4,7,6,8,17,36,9,-,-
"S00146725",69,-,3,3,5,2,1,6,6,15,1,4,12,8,3,-,1
"S00146726",164,-,7,15,24,-,4,12,3,38,2,5,14,12,22,2,2
"S00146727",89,-,4,4,7,4,7,10,8,21,3,4,12,9,1,-,-
"S00146728",92,-,4,10,12,1,-,9,3,9,2,6,18,19,2,-,-
"S00146729",148,-,8,15,20,6,5,16,4,28,5,2,11,15,2,1,8
"S00146730",150,1,5,5,20,6,3,20,15,11,6,3,20,22,9,1,3
"S00146731",135,-,3,-,16,4,-,12,7,14,7,7,30,24,3,1,2
"S00146732",92,-,1,3,8,-,3,3,5,11,5,4,18,22,7,-,2
"S00146733",93,-,3,2,9,5,4,8,9,13,4,5,9,8,8,-,2
"S00146734",101,-,5,6,15,4,2,11,5,12,5,4,15,12,-,-,2
"S00146735",121,1,4,5,17,2,-,11,8,15,4,3,19,20,12,-,5
"S00146736",103,2,2,12,21,3,3,6,6,5,4,2,16,11,6,-,5
"S00146737",120,-,2,3,17,1,1,10,10,30,6,3,12,13,8,2,5
"S00146738",68,-,3,7,13,5,2,10,4,6,1,4,6,7,1,-,-
"S00146739",87,-,3,14,12,6,3,9,6,9,3,1,10,10,-,-,3
"S00146740",136,-,6,6,21,8,8,12,13,19,8,2,10,10,4,1,7
"S00146741",145,-,8,8,16,9,2,20,9,19,2,4,25,20,5,-,2
"S00146742",118,1,4,11,15,2,6,11,16,13,2,7,8,15,3,-,4
"S00146743",106,-,5,7,16,4,9,11,7,19,1,5,10,8,2,-,-
"S00146744",93,-,5,3,8,2,4,9,3,5,3,6,14,14,7,1,5
"S00146745",108,-,1,5,17,2,3,6,9,12,7,4,14,14,4,-,7
"S00146746",145,2,4,22,22,5,3,16,12,16,8,2,14,11,4,-,5
"S00146747",81,-,4,6,12,5,1,12,4,11,2,2,9,8,8,-,2
"S00146748",69,-,1,12,12,8,3,7,-,9,-,5,3,5,5,-,-
"S00146749",102,-,4,1,13,4,1,18,-,7,6,7,13,21,5,-,7
"S00146750",95,-,1,7,18,5,2,13,5,22,5,4,8,6,3,-,3
"S00146751",163,-,6,10,21,5,7,16,17,22,10,4,20,21,5,-,4
"S00146752",107,-,1,2,9,4,6,13,-,3,10,7,18,24,8,-,2
"S00146753",114,-,3,9,14,2,-,8,2,13,3,5,11,13,23,2,2
"S00146754",58,-,3,3,2,1,2,5,1,8,7,3,10,10,2,-,5
"S00146755",57,2,-,10,6,1,5,6,7,6,-,-,8,6,2,-,-
"S00146756",116,-,2,6,15,7,4,11,4,22,5,4,19,11,4,-,7
"S00146757",74,-,4,2,3,3,1,9,4,9,6,7,11,8,5,1,4
"S00146758",108,-,9,4,11,3,5,10,9,16,6,4,19,8,2,1,4
"S00146759",112,-,2,7,9,2,4,5,10,25,4,6,19,9,4,1,7
"S00146760",103,-,1,18,16,4,2,13,6,13,5,1,10,7,6,-,1
"S00146761",146,-,4,15,28,3,6,22,4,10,11,11,12,12,6,-,3
"S00146762",125,-,2,7,19,2,4,14,1,18,4,4,16,12,12,-,10
"S00146763",114,-,1,12,16,5,5,8,6,23,3,6,8,13,5,-,-
"S00146764",118,-,1,13,23,7,6,11,6,5,4,3,13,8,11,-,6
"S00146765",58,-,1,-,12,-,4,7,1,1,2,2,12,11,6,1,-
"S00146766",83,-,3,1,5,2,1,8,1,9,8,2,14,19,11,-,4
"S00146767",96,-,4,8,16,5,1,14,5,9,2,2,14,14,-,-,-
"S00146768",107,-,4,13,25,-,2,17,6,16,3,5,9,7,4,-,5
"S00146769",71,1,2,6,4,7,3,8,3,4,-,2,8,11,12,-,1
"S00146770",76,-,1,-,3,3,3,5,-,4,3,3,22,23,4,-,3
"S00146771",101,-,3,9,21,5,7,11,8,16,3,-,6,5,4,1,4
"S00146772",100,1,1,1,7,4,4,10,2,8,3,4,21,24,4,-,6
"S00146773",64,-,2,-,6,2,-,9,2,7,4,1,11,12,7,-,4
"S00146774",137,-,9,10,22,6,4,8,7,28,1,3,16,10,3,1,4
"S00146775",107,-,3,7,18,1,-,7,4,14,4,3,18,13,1,2,6
"S00146776",109,-,3,12,15,3,4,10,12,16,1,6,5,9,7,-,4
"S00146777",121,-,2,12,12,5,2,20,16,16,2,1,13,13,2,1,7
"S00146778",63,-,2,8,6,3,3,5,-,14,1,-,5,4,1,1,4
"S00146779",73,1,1,4,10,2,2,5,6,8,2,4,8,11,9,-,2
"S00146780",97,-,8,4,14,1,-,8,3,11,-,4,16,22,5,-,5
"S00146781",171,-,12,10,31,5,6,24,4,11,1,9,17,26,10,-,6
"S00146782",125,-,5,6,14,5,2,16,3,12,1,6,23,21,2,1,6
"S00146783",71,-,2,4,2,-,2,7,-,2,1,1,17,15,8,2,3
"S00146784",136,-,3,14,18,5,4,15,5,14,6,5,18,19,5,-,8
"S00146785",111,-,1,-,16,4,5,16,4,6,5,4,18,16,8,-,8
"S00146786",80,-,6,5,7,3,2,10,6,6,2,3,8,11,5,-,1
"S00146787",97,-,4,6,21,4,3,17,2,2,5,3,16,13,5,1,-
"S00146788",133,-,2,-,22,2,4,17,2,8,5,6,24,27,5,1,8
"S00146789",55,-,-,-,3,2,-,7,-,6,2,2,19,11,7,-,1
"S00146790",146,4,5,13,23,4,8,14,2,8,6,8,24,17,4,-,11
"S00146791",80,-,-,9,12,4,2,14,-,5,5,4,10,18,-,-,4
"S00146792",61,-,7,4,10,2,-,15,1,3,3,4,2,4,-,1,4
"S00146793",83,-,1,8,8,1,4,10,2,6,2,6,12,13,6,2,2
"S00146794",90,-,-,6,15,-,2,14,3,11,4,7,11,13,4,-,5
"S00146795",95,-,-,4,9,6,4,11,3,6,5,5,17,19,3,-,6
"S00146796",129,-,5,4,5,8,5,13,-,14,11,11,23,16,7,-,7
"S00146797",66,-,-,5,8,3,2,4,6,11,7,-,2,6,6,2,3
"S00146798",113,-,4,6,17,5,4,24,-,5,3,9,15,19,-,1,1
"S00146799",103,-,2,8,7,5,3,14,4,11,2,8,14,16,3,2,5
"S00146800",91,-,1,3,11,3,2,6,3,11,2,2,16,19,3,1,2
"S00146801",63,-,3,4,5,3,2,9,2,7,1,3,12,8,2,-,3
"S00146802",83,-,-,11,15,-,2,7,5,7,1,3,11,11,3,-,7
"S00146803",120,-,2,10,32,6,5,15,4,6,4,4,13,13,1,1,3
"S00146804",80,-,-,2,13,3,2,7,1,3,4,4,12,19,11,-,2
"S00146805",83,-,2,2,10,7,-,19,-,7,1,-,13,19,1,-,4
"S00146806",69,-,-,4,10,2,2,14,4,6,10,3,7,8,3,-,4
"S00146807",58,-,1,-,3,1,3,9,-,2,3,-,4,15,9,2,4
"S00146808",81,-,2,7,10,1,4,15,4,-,5,2,11,11,6,-,-
"S00146809",81,-,1,3,4,-,3,7,-,3,4,10,13,18,8,-,4
"S00146810",129,-,3,8,15,4,3,14,10,23,13,5,15,11,4,-,1
"S00146811",76,-,-,2,3,2,2,8,1,9,4,4,13,18,12,-,2
"S00146812",74,-,3,2,13,1,2,13,1,1,3,4,16,12,3,-,-
"S00146813",96,-,-,4,7,-,1,4,-,1,7,4,22,30,11,4,4
"S00146814",77,-,-,4,2,3,1,7,-,1,5,4,13,24,7,1,8
"S00146815",106,1,2,4,14,3,6,18,2,12,4,7,13,22,5,-,-
"S00146816",70,-,2,3,9,1,-,8,1,6,4,2,8,22,4,-,2
"S00146817",131,-,-,6,6,11,9,27,7,10,6,5,15,15,3,-,6
"S00146818",119,-,2,-,6,3,3,18,-,6,4,10,25,24,7,-,10
"S00146819",64,-,2,1,8,1,6,9,-,1,2,5,10,24,2,-,1
"S00146820",134,-,1,5,14,-,5,10,2,6,12,8,19,27,12,4,1
"S00146821",66,-,-,3,2,3,1,9,-,2,1,3,10,20,7,-,2
"S00146822",106,-,2,3,9,4,-,7,1,2,5,5,24,30,7,1,3
"S00146823",68,-,-,-,2,2,3,11,-,2,1,4,14,17,4,1,4
"S00146824",82,-,5,-,6,2,-,8,1,4,6,4,14,18,11,-,3
"S00146825",80,-,-,-,3,5,1,8,-,4,5,4,9,23,11,1,7
"S00146826",63,-,-,1,5,-,-,6,1,5,2,2,12,15,8,1,4
"S00146827",110,-,2,4,13,3,-,10,-,6,7,4,21,37,2,-,5
"S00146828",73,-,5,1,6,1,-,7,-,4,-,6,16,18,8,-,4
"S00146829",70,-,1,5,12,2,-,7,-,4,-,5,17,12,-,-,-
"S00146830",71,-,1,3,10,4,2,6,3,9,5,1,17,9,7,-,2
"S00146831",74,-,-,1,15,2,3,6,3,2,-,4,10,17,8,1,1
"S00146832",73,-,1,3,5,2,1,11,-,2,5,4,10,21,6,1,3
"S00146833",93,-,2,3,8,1,2,8,1,3,6,5,17,23,14,-,3
"S00146834",55,-,2,5,6,2,3,3,2,5,2,4,5,12,2,-,2
"S00146835",108,-,-,-,7,4,-,5,-,3,3,10,18,43,6,2,6
"S00146836",113,-,1,5,5,4,2,5,2,4,5,6,24,37,11,-,1
"S00146837",96,-,4,4,6,-,2,6,4,8,5,3,15,24,11,-,4
"S00146838",68,-,-,3,6,1,1,6,-,4,5,2,13,22,4,-,3
"S00146839",47,-,-,-,1,4,-,4,-,1,2,4,7,22,6,-,1
"S00146840",67,-,1,3,8,1,-,10,4,12,-,2,3,18,1,-,3
"S00146841",77,-,2,6,6,-,3,6,-,5,2,6,7,19,9,-,6
"S00146842",117,-,3,3,9,3,-,18,2,8,9,19,19,17,4,-,4
"S00146843",71,-,-,4,8,-,1,9,1,-,4,5,13,21,2,-,4
"S00146844",76,1,-,4,9,4,4,9,-,2,4,3,8,17,7,2,2
"S00146845",177,-,4,9,20,6,6,25,3,19,7,7,20,26,18,-,5
"S00146846",149,-,4,8,30,3,6,13,7,17,6,4,19,12,20,-,2
"S00146847",139,-,3,11,18,7,-,15,5,19,9,7,14,14,12,2,2
"S00146848",77,-,1,3,4,4,1,8,-,4,3,6,8,25,6,-,6
"S00146849",139,-,-,4,13,5,3,14,-,8,4,6,26,34,10,2,8
"S00146850",109,-,-,1,5,2,3,17,1,4,5,4,18,28,14,2,3
"S00146851",139,-,4,8,12,8,1,18,1,15,10,6,21,31,4,-,-
"S00146852",67,-,2,4,9,2,4,5,1,6,4,7,5,13,1,-,3
"S00146853",53,-,-,2,4,1,1,6,1,4,4,1,10,9,14,-,-
"S00146854",143,-,1,4,12,-,5,27,2,4,8,4,20,31,24,-,1
